neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,desc_word_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price
Outer Sunset,37.75771832480117,-122.50186608625332,Private room,4,162,4.9,t,7,264,32,51,0.25,0.25,0.5,4.290459441148391
Outer Mission,37.72979,-122.44791,Private room,1,13,4.77,f,0,58,34,23,1.0,1.0,1.0,3.9318256327243257
South of Market,37.7880767,-122.3896032,Entire home/apt,3,5,5.0,f,0,318,40,70,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.396929655216146
Outer Mission,37.7321695,-122.4381584,Entire home/apt,4,3,5.0,f,7,7,34,72,0.5,0.5,0.75,5.808142489980444
Bernal Heights,37.74073324587487,-122.42311257753936,Entire home/apt,10,0,0.0,f,30,365,10,67,0.4,0.2,0.4,5.583496308781699
Western Addition,37.78641,-122.42302,Entire home/apt,2,0,0.0,t,30,365,13,8,0.5,0.5,0.5,5.0106352940962555
Twin Peaks,37.75647216901217,-122.44303595582892,Entire home/apt,4,17,4.88,t,10,160,46,69,0.5,0.25,0.5,6.366470447731438
Pacific Heights,37.79095,-122.44489,Entire home/apt,2,138,4.63,t,0,333,29,23,0.5,0.5,0.5,4.787491742782046
Downtown/Civic Center,37.78533,-122.41411,Private room,2,74,4.53,t,18,300,20,85,0.5,0.0,0.5,4.59511985013459
Castro/Upper Market,37.75860826964732,-122.44003275778896,Entire home/apt,2,180,4.92,t,9,316,58,86,0.5,0.5,0.5,5.25227342804663
Crocker Amazon,37.7113,-122.44475,Entire home/apt,8,282,4.87,t,14,73,38,43,0.375,0.25,0.625,4.990432586778736
Noe Valley,37.74533,-122.42489,Entire home/apt,6,5,5.0,t,14,158,13,65,0.5,0.3333333333333333,0.5,5.375278407684165
Outer Sunset,37.75861323195664,-122.4803451821208,Entire home/apt,6,20,4.95,f,0,14,59,88,0.5,0.3333333333333333,0.6666666666666666,5.4638318050256105
Mission,37.76493,-122.40559,Entire home/apt,2,381,4.82,f,7,221,34,29,0.5,0.5,0.5,5.099866427824199
Marina,37.799494,-122.434135,Private room,4,0,0.0,f,25,76,20,71,0.25,0.25,0.5,5.318119993844216
Bernal Heights,37.74049,-122.41637,Entire home/apt,4,30,4.7,t,9,221,37,39,0.25,0.25,0.5,4.700480365792417
South of Market,37.78555,-122.39549,Entire home/apt,3,13,4.92,t,13,348,55,34,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.272999558563747
