neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Western Addition,37.77028,-122.43317,Entire home/apt,3,496,4.89,t,5,224,55,0.3333333333333333,0.3333333333333333,0.6666666666666666,6,5.056245805348308
Bernal Heights,37.74474,-122.42089,Entire home/apt,4,105,4.87,f,22,357,17,0.5,0.5,0.5,13,5.521460917862246
Outer Mission,37.73077,-122.44827,Private room,1,90,4.77,t,0,42,31,1.0,2.0,1.0,5,4.204692619390966
Western Addition,37.77377,-122.43614,Entire home/apt,2,25,4.86,f,1,327,38,0.5,0.75,0.5,6,6.267200548541362
Bayview,37.7175,-122.39698,Private room,2,40,4.97,t,30,363,63,0.5,0.75,0.5,14,4.68213122712422
Nob Hill,37.79249,-122.41499,Entire home/apt,2,18,4.93,f,0,275,17,0.0,0.5,0.5,4,4.605170185988092
Nob Hill,37.7914,-122.41149,Private room,2,43,4.78,t,0,74,52,0.5,0.5,0.5,4,4.31748811353631
Castro/Upper Market,37.76237,-122.42992,Private room,2,518,4.93,f,6,28,18,0.5,0.75,0.5,9,4.59511985013459
Noe Valley,37.74858,-122.42865,Entire home/apt,3,72,4.85,f,0,230,31,0.0,0.3333333333333333,0.6666666666666666,13,4.59511985013459
Western Addition,37.77247,-122.43301,Private room,2,514,4.89,t,6,34,35,0.5,0.5,0.5,6,4.762173934797756
Nob Hill,37.7962,-122.41562,Entire home/apt,2,125,4.88,f,28,363,34,0.5,0.5,0.5,18,5.521460917862246
Potrero Hill,37.75675582885742,-122.4001693725586,Private room,2,413,4.91,t,7,245,51,0.5,0.5,0.5,7,5.181783550292085
Pacific Heights,37.78897,-122.43376,Entire home/apt,4,506,4.86,t,11,186,51,0.25,0.25,0.5,3,5.438079308923196
Glen Park,37.74159,-122.43159,Private room,2,79,4.97,t,13,317,71,0.5,0.5,1.0,13,5.081404364984463
Bernal Heights,37.74038,-122.41327,Entire home/apt,2,93,4.81,f,0,273,32,1.0,0.5,1.5,2,5.087596335232384
Potrero Hill,37.76451,-122.39643,Entire home/apt,2,823,4.96,t,15,324,48,0.5,0.5,0.5,7,5.886104031450156
Mission,37.7617,-122.41887,Entire home/apt,2,108,4.64,t,5,188,31,0.5,0.5,0.5,9,5.081404364984463
Castro/Upper Market,37.76123,-122.43326,Entire home/apt,3,90,4.76,f,0,39,51,0.3333333333333333,0.3333333333333333,0.6666666666666666,9,4.875197323201151
Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,2,30,4.97,t,0,195,57,0.5,0.5,1.0,4,5.187385805840755
Castro/Upper Market,37.76156,-122.42943,Private room,1,123,4.82,f,0,305,9,1.0,1.0,1.0,9,4.30406509320417
Castro/Upper Market,37.76364,-122.42858,Private room,1,17,4.75,f,30,90,10,1.0,1.0,1.0,9,4.356708826689592
Pacific Heights,37.79186,-122.42429,Entire home/apt,2,39,4.88,t,24,258,31,0.5,0.5,0.5,10,4.875197323201151
