iter	RMSE
0	0.711334159
1	0.6979486697
2	0.6843302829
3	0.6708195494
4	0.6585955069
5	0.6479592657
6	0.6370920358
7	0.6266063739
8	0.6165477964
9	0.6080124596
10	0.5989467296
11	0.5910655247
12	0.5839274339
13	0.5764281371
14	0.5699222343
15	0.5637122817
16	0.5573154914
17	0.5514458632
18	0.5461659035
19	0.5408292257
20	0.5355566537
21	0.5316572845
22	0.5272439278
23	0.5234321612
24	0.5193050043
25	0.5155037151
26	0.5118494887
27	0.5083177834
28	0.5050407072
29	0.5018277476
30	0.4987869139
31	0.4958104702
32	0.4932201742
33	0.4906971603
34	0.4882667127
35	0.4857445845
36	0.4836797115
37	0.4819425928
38	0.479983412
39	0.4782002806
40	0.4761110657
41	0.4742259056
42	0.4720397788
43	0.4701702303
44	0.4685093162
45	0.4663812802
46	0.4647716548
47	0.4633527717
48	0.4620471782
49	0.4601497745
50	0.4587507889
51	0.4574695853
52	0.4557568374
53	0.4545933088
54	0.4529494464
55	0.4515836923
56	0.4505860877
57	0.4492509713
58	0.4482515794
59	0.4474083982
60	0.4459665389
61	0.4446446024
62	0.4434743973
63	0.4425844087
64	0.4411423268
65	0.4400576791
66	0.4390214227
67	0.4378640558
68	0.4368399157
69	0.4360500882
70	0.4349290239
71	0.4338819579
72	0.4331130552
73	0.4322630341
74	0.4315303087
75	0.4308652259
76	0.4300161916
77	0.4292499436
78	0.4287894338
79	0.4279482433
80	0.4269552491
81	0.4262622835
82	0.4255286283
83	0.424914731
84	0.4241856778
85	0.4234755566
86	0.4225244385
87	0.4218347213
88	0.4210934656
89	0.4204176867
90	0.4199049918
91	0.4190925069
92	0.4186806315
93	0.4182343306
94	0.4177575939
95	0.4169027864
96	0.4164189789
97	0.4159396459
98	0.4155246271
99	0.4151420086
100	0.4145678965
101	0.4137235251
102	0.4132831272
103	0.412806122
104	0.4123606129
105	0.4120242407
106	0.4111710374
107	0.4107924368
108	0.4101712624
109	0.4096894207
110	0.4091940634
111	0.4086725523
112	0.4082888601
113	0.4077536028
114	0.4072583003
115	0.4068905328
116	0.4065433449
117	0.4060081497
118	0.4057413712
119	0.4050735783
120	0.4046445038
121	0.4042159813
122	0.4039336617
123	0.4035024745
124	0.4031235806
125	0.4028578242
126	0.4025096184
127	0.4022859691
128	0.4018195683
129	0.4015544285
130	0.4013626076
131	0.4009858775
132	0.400749349
133	0.4005069206
134	0.4001512497
135	0.3998697231
136	0.3993252808
137	0.3989750217
138	0.39867041
139	0.3983377883
140	0.3977387161
141	0.3973736694
142	0.3969049925
143	0.3966290702
144	0.3963514064
145	0.3960072946
146	0.3956404848
147	0.3952173743
148	0.3948519768
149	0.3945141812
150	0.3942658802
151	0.3939374465
152	0.3935953154
153	0.3932372665
154	0.3930586329
155	0.3928276961
156	0.3923576353
157	0.3919863896
158	0.3915452652
159	0.3913306991
160	0.3910461396
161	0.3907585399
162	0.3905378234
163	0.3903064468
164	0.3900295377
165	0.3897977324
166	0.389594687
167	0.3893753462
168	0.3892082758
169	0.3888797253
170	0.3883855938
171	0.3881454326
172	0.3879254229
173	0.3876207413
174	0.3872647702
175	0.3870687488
176	0.3866926368
177	0.3863933627
178	0.3860998591
179	0.3858033025
180	0.3854446097
181	0.3851939358
182	0.3848376272
183	0.3845268851
184	0.3841259793
185	0.3838472264
186	0.3835828784
187	0.383256132
188	0.383121868
189	0.382802572
190	0.3825523921
191	0.3822423747
192	0.381846165
193	0.3815621352
194	0.3813573681
195	0.3808881938
196	0.3805906235
197	0.3803719693
198	0.380130598
199	0.3796743338
200	0.379475348
201	0.3792261678
202	0.3788999684
203	0.3784987404
204	0.3780551058
205	0.3777778075
206	0.3775625896
207	0.3772767457
208	0.3770285485
209	0.3768551861
210	0.3766371159
211	0.376404359
212	0.3761333969
213	0.3758827898
214	0.3756638099
215	0.3753358372
216	0.3750367156
217	0.3747258273
218	0.3744175758
219	0.3742198565
220	0.3738839549
221	0.3735600609
222	0.3732827195
223	0.3729857503
224	0.372693205
225	0.3725062337
226	0.3722498899
227	0.3720688197
228	0.3718424794
229	0.371588664
230	0.3713612826
231	0.3711253519
232	0.3709562583
233	0.370696646
234	0.3704287173
235	0.3701636961
236	0.3698907159
237	0.3697078115
238	0.3695448719
239	0.3693632962
240	0.3691551321
241	0.3688339022
242	0.3686225441
243	0.3684621645
244	0.3682700004
245	0.3680824599
246	0.367847018
247	0.367649741
248	0.3674573834
249	0.3672390581
250	0.3670494501
251	0.3668286724
252	0.3664905476
253	0.3662791519
254	0.3660567101
255	0.3658043533
256	0.3655733117
257	0.3654075057
258	0.365175419
259	0.3650050736
260	0.3648244389
261	0.3646137133
262	0.3644836409
263	0.3643039224
264	0.3640225038
265	0.3638141773
266	0.3635951189
267	0.3633934588
268	0.3631123067
269	0.3628324257
270	0.3626340982
271	0.3623151313
272	0.3621448791
273	0.361944714
274	0.361806777
275	0.361615444
276	0.3614768721
277	0.3612433494
278	0.3610787951
279	0.3608590268
280	0.3606684065
281	0.3604651037
282	0.3602916487
283	0.360110724
284	0.3600069812
285	0.3597943848
286	0.3596282188
287	0.3593673687
288	0.3592286382
289	0.3590789174
290	0.3588666481
291	0.358668801
292	0.3585351356
293	0.3584109851
294	0.358263521
295	0.3581228279
296	0.3579708703
297	0.3578532351
298	0.3576833304
299	0.357453312
